UTC_TIME,Flight,DATE,TIME,FUEL_FLOW_ADDED,FUEL_USED_ADDED,VALUE_FUEL_QTY_ADDED,VALUE_FOB,DIFF_FOB_VALUE_FUEL,FUEL_USED_FOB,FUEL_USED,leakage
2017-01-17 16:26:47,V0965,2017-01-17,16:26:47,8382.762999999999,397.04367,27521.0,27520.0,1.0,0.0,0.0,0.0
2017-01-17 16:26:48,V0965,2017-01-17,16:26:48,8325.773,399.38434,27516.0,27514.0,2.0,6.0,2.2904100000000085,3.7095899999999915
2017-01-17 16:26:49,V0965,2017-01-17,16:26:49,8354.553,401.67475,27509.0,27508.0,1.0,6.0,2.222820000000013,3.777179999999987
2017-01-17 16:26:50,V0965,2017-01-17,16:26:50,7839.664000000001,403.89757000000003,27505.0,27504.0,1.0,4.0,2.142530000000022,1.857469999999978
2017-01-17 16:26:51,V0965,2017-01-17,16:26:51,7321.4580000000005,406.04010000000005,27504.0,27503.0,1.0,1.0,2.0685699999999088,-1.0685699999999088
2017-01-17 16:26:52,V0965,2017-01-17,16:26:52,7411.537,408.10866999999996,27499.0,27499.0,0.0,4.0,2.000190000000032,1.9998099999999681
2017-01-17 16:26:53,V0965,2017-01-17,16:26:53,7293.641,410.10886,27491.0,27489.0,2.0,10.0,2.0045800000000327,7.995419999999967
2017-01-17 16:26:54,V0965,2017-01-17,16:26:54,7166.218999999999,412.11344,27489.0,27486.0,3.0,3.0,1.989309999999989,1.010690000000011
2017-01-17 16:26:55,V0965,2017-01-17,16:26:55,7341.164000000001,414.10275,27481.0,27480.0,1.0,6.0,2.026989999999955,3.973010000000045
2017-01-17 16:26:56,V0965,2017-01-17,16:26:56,7347.536999999999,416.12973999999997,27473.0,27473.0,0.0,7.0,2.0986500000000206,4.9013499999999794
2017-01-17 16:26:57,V0965,2017-01-17,16:26:57,7433.254999999999,418.22839,27467.0,27467.0,0.0,6.0,2.0499100000000112,3.9500899999999888
2017-01-17 16:26:58,V0965,2017-01-17,16:26:58,7445.867,420.2783,27446.0,27445.0,1.0,22.0,2.056199999999933,19.943800000000067
2017-01-17 16:26:59,V0965,2017-01-17,16:26:59,7444.691,422.33449999999993,27444.0,27441.0,3.0,4.0,2.143500000000074,1.8564999999999259
2017-01-17 16:27:00,V0965,2017-01-17,16:27:00,7410.316,424.478,27430.0,27430.0,0.0,11.0,2.095300000000009,8.904699999999991
2017-01-17 16:27:01,V0965,2017-01-17,16:27:01,7460.703,426.5733,27431.0,27429.0,2.0,1.0,2.0476999999999634,-1.0476999999999634
2017-01-17 16:27:02,V0965,2017-01-17,16:27:02,7467.609,428.621,27431.0,27430.0,1.0,-1.0,2.0510000000000446,-3.0510000000000446
2017-01-17 16:27:03,V0965,2017-01-17,16:27:03,7497.074,430.672,27434.0,27431.0,3.0,-1.0,2.050399999999968,-3.050399999999968
2017-01-17 16:27:04,V0965,2017-01-17,16:27:04,7479.84,432.7224,27440.0,27439.0,1.0,-8.0,2.0447000000000344,-10.044700000000034
2017-01-17 16:27:05,V0965,2017-01-17,16:27:05,7376.548,434.7671,27445.0,27443.0,2.0,-4.0,2.0914999999999964,-6.091499999999996
2017-01-17 16:27:06,V0965,2017-01-17,16:27:06,7469.968999999999,436.8586,27449.0,27446.0,3.0,-3.0,2.0475999999999885,-5.0475999999999885
2017-01-17 16:27:07,V0965,2017-01-17,16:27:07,7488.933,438.9062,27450.0,27450.0,0.0,-4.0,2.044399999999996,-6.044399999999996
2017-01-17 16:27:08,V0965,2017-01-17,16:27:08,7407.365,440.9506,27456.0,27455.0,1.0,-5.0,2.0457000000000107,-7.045700000000011
2017-01-17 16:27:09,V0965,2017-01-17,16:27:09,7455.673,442.9963,27460.0,27458.0,2.0,-3.0,2.1889999999999645,-5.1889999999999645
2017-01-17 16:27:10,V0965,2017-01-17,16:27:10,7426.758999999999,445.1853,27460.0,27460.0,0.0,-2.0,2.043700000000001,-4.043700000000001
2017-01-17 16:27:11,V0965,2017-01-17,16:27:11,7453.252,447.229,27465.0,27463.0,2.0,-3.0,2.0395000000000323,-5.039500000000032
2017-01-17 16:27:12,V0965,2017-01-17,16:27:12,7493.671,449.2685,27468.0,27466.0,2.0,-3.0,2.040999999999997,-5.040999999999997
2017-01-17 16:27:13,V0965,2017-01-17,16:27:13,7429.753000000001,451.3095,27469.0,27469.0,0.0,-3.0,2.039100000000019,-5.039100000000019
2017-01-17 16:27:14,V0965,2017-01-17,16:27:14,7429.8460000000005,453.34860000000003,27472.0,27471.0,1.0,-2.0,2.040399999999977,-4.040399999999977
2017-01-17 16:27:15,V0965,2017-01-17,16:27:15,7415.616,455.389,27475.0,27473.0,2.0,-2.0,2.084899999999948,-4.084899999999948
2017-01-17 16:27:16,V0965,2017-01-17,16:27:16,7423.168,457.47389999999996,27477.0,27476.0,1.0,-3.0,2.04200000000003,-5.04200000000003
2017-01-17 16:27:17,V0965,2017-01-17,16:27:17,7393.62,459.5159,27478.0,27475.0,3.0,1.0,2.0365000000000464,-1.0365000000000464
2017-01-17 16:27:18,V0965,2017-01-17,16:27:18,7408.398,461.55240000000003,27482.0,27482.0,0.0,-7.0,2.1298999999999637,-9.129899999999964
2017-01-17 16:27:19,V0965,2017-01-17,16:27:19,7404.683,463.6823,27485.0,27482.0,3.0,0.0,2.082400000000007,-2.082400000000007
2017-01-17 16:27:20,V0965,2017-01-17,16:27:20,7435.705,465.7647,27488.0,27486.0,2.0,-4.0,2.0346000000000117,-6.034600000000012
2017-01-17 16:27:21,V0965,2017-01-17,16:27:21,7453.092000000001,467.7993,27490.0,27489.0,1.0,-3.0,2.035599999999988,-5.035599999999988
2017-01-17 16:27:22,V0965,2017-01-17,16:27:22,7378.91,469.8349,27493.0,27490.0,3.0,-1.0,2.0360999999999763,-3.0360999999999763
2017-01-17 16:27:23,V0965,2017-01-17,16:27:23,7380.123,471.871,27494.0,27492.0,2.0,-2.0,2.032000000000039,-4.032000000000039
2017-01-17 16:27:24,V0965,2017-01-17,16:27:24,7394.653,473.903,27496.0,27496.0,0.0,-4.0,2.0757999999999583,-6.075799999999958
2017-01-17 16:27:25,V0965,2017-01-17,16:27:25,7423.682,475.9788,27498.0,27497.0,1.0,-1.0,2.03550000000007,-3.03550000000007
2017-01-17 16:27:26,V0965,2017-01-17,16:27:26,7362.185,478.01430000000005,27495.0,27494.0,1.0,3.0,2.0283999999999196,0.9716000000000804
2017-01-17 16:27:27,V0965,2017-01-17,16:27:27,7400.83,480.04269999999997,27496.0,27494.0,2.0,0.0,2.1211000000000126,-2.1211000000000126
